HospitalID,Name,Password,Email,Role,Gender,DOB,BloodType
H001,MichaelScott,password,michaelscott@example.com,Administrator,Male,null,null
H002,PamBeesly,password,pambeesly@example.com,Doctor,Female,null,null
H003,JimHalpert,password,jimhalpert@example.com,Pharmacist,Male,null,null
H004,DwightSchrute,password,dwightschrute@example.com,Doctor,Male,null,null
H005,StanleyHudson,password,stanleyhudson@example.com,Patient,Male,1999-02-01,AB
H006,KevinMalone,password,kevinmalone@example.com,Patient,Male,2000-01-01,A+
H007,AngelaMartin,password,angelamartin@example.com,Doctor,Female,null,null
H008,OscarMartinez,password,oscarmartinez@example.com,Patient,Male,2001-01-01,B+
H009,PhyllisVance,password,phyllisvance@example.com,Pharmacist,Female,null,null
H010,AndyBernard,password,andybernard@example.com,Patient,Male,2005-01-01,O
